,,
Will the comparison-counting algorithm work correctly for arrays with equal values?,Analyse,
"Trace the algorithm for the graph given. An example can be found in the text. b. After the next fringe vertex is added to the tree, add all the unseen vertices adjacent to it to the priority queue of fringe vertices. ",Understand,
"Just follow the description of the algorithm given in the statement of the problem. Note that a new key is always inserted in a leaf and that full nodes are always split on the way down, even though the leaf for the new key may have a room for it. b. Can a split of a full node cause a cascade of splits through the chain of its ancestors? Can we get a taller search tree than necessary?",Analyse,
Use the method of backward substitutions to solve the recurrence given in the text.,Apply,
Which sorting algorithm other than heapsort uses a priority queue?,Remember,
"Since this greedy algorithm is arguably simpler than the augmenting-path algorithm given in the section, should we expect a positive or negative answer? Of course, this point cannot be substituted for a more specific argument or a counterexample. ",Evaluate,
Apply the shortest-augmenting path algorithm to find a maximum flow and a minimum cut in the following networks. a. 5 2 1 2 5 6 4 4 3 7 4 8 6 b. 3 2 4 2 1 1 4 4 6 7 3 5 5 2,Apply,
Use the table generated by the dynamic programming algorithm in solving the problem's instance in Example 1 of the section.,Apply,
Indicate the time efficiency classes of the three main operations of the priority queue implemented as a. an unsorted array. b. a sorted array. c. a binary search tree. d. an AVL tree. e. a heap.,Evaluate,
Trace the algorithm on the input given,Apply,
Set up sums and simplify them by using the standard formulas and rules for sum manipulation. Do not forget to include the multiplications outside the inner loop.,Apply,
"One can find arguments supporting either view. There is a well-established principle pertinent to the matter, though: scientific facts or mathematical expressions of them are not patentable. (Why do you think this is the case?) But should this preclude granting patents for all algorithms? ",Evaluate,
"For the partitioning procedure outlined in this section: a. Prove that if the scanning indices stop while pointing to the same element, i.e., i = j, the value they are pointing to must be equal to p. b. Prove that when the scanning indices stop, j cannot point to an element more than one position to the left of the one pointed to by i. ",Analyse,
Just follow Euclid's algorithm as described in the text. b. Compare the number of divisions made by the two algorithms.,Apply,
Is Horner's rule more time efficient at the expense of being less space efficient than the brute-force algorithm?,Remember,
Consider all the possibilities of partitioning the nodes between the left and right subtrees. b. Compute the values in question using the two formulas. c. Use the formula for the nth Catalan number and Stirling's formula for n!. ,Apply,
Give examples of using an index in real-life applications that do not involve computers.,Analyse,
Does it return a correct comparison count for every array of size 2?,Analyse,
"Considering the case of two jobs might help. Of course, after forming a hypothesis, you will have to prove the algorithm's optimality for an arbitrary input or find a specific counterexample showing that it is not the case. ",Create,
Check how fast the count values grow with doubling the input size.,Analyse,
"After combining the two nodes with the lowest probabilities, resolve the tie arising on the next iteration in two different ways. For each of the two Huffman codes obtained, compute the mean and variance of the codeword length. ",Apply,
Trace the algorithm on the input given. You will have to use it again in order to compute the products of two-digit numbers as well.,Apply,
Outline an algorithm for finding the largest key in a B-tree.,Apply,
Explain how the maximum-flow problem for a network with several sources and sinks can be transformed into the same problem for a network with a single source and a single sink. b. Some networks have capacity constraints on the flow amounts that can flow through their intermediate vertices. Explain how the maximum-flow problem for such a network can be transformed to the maximum-flow problem for a network with edge capacity constraints only.,Analyse,
Thinking about searching for information should lead to a variety of examples.,Understand,
Compare the definitions of the two techniques.,Understand,
"If you have to solve the searching problem for a list of n numbers, how can you take advantage of the fact that the list is known to be sorted? Give separate answers for a. lists represented as arrays. b. lists represented as linked lists. ",Evaluate,
"Use the fact that |xn - x| is the distance between xn, the middle of interval [an, bn], and root x. ",Apply,
"Fill in a table with the time efficiency classes of efficient implementations of the three operations: finding the largest element, finding and deleting the largest element, and adding a new element. ",Analyse,
"Find a trivial lower-bound class for each of the following problems and indicate, if you can, whether this bound is tight. a. finding the largest element in an array b. checking completeness of a graph represented by its adjacency matrix c. generating all the subsets of an n-element set d. determining whether n given real numbers are all distinct ",Analyse,
"Write an equation of the tangent line to the graph of the function at (xn, f (xn)) and find its x-intercept. ",Apply,
"Old World puzzle A peasant finds himself on a riverbank with a wolf, a goat, and a head of cabbage. He needs to transport all three to the other side of the river in his boat. However, the boat has room for only the peasant himself and one other item (either the wolf, the goat, or the cabbage). In his absence, the wolf would eat the goat, and the goat would eat the cabbage. Solve this problem for the peasant or prove it has no solution. (Note: The peasant is a vegetarian but does not like cabbage and hence can eat neither the goat nor the cabbage to help him solve the problem. And it goes without saying that the wolf is a protected species.) ",Create,
"Show that the number of distinct binary search trees b(n) that can be constructed for a set of n orderable keys satisfies the recurrence relation n-1 b(n) = b(k)b(n - 1 - k) for n > 0, b(0) = ",Evaluate,
Prove first that 2h l by induction on h. b. Prove first that 3h l by induction on h.,Apply,
Why is the time efficiency of algorithm OptimalBST cubic? b. Why is the space efficiency of algorithm OptimalBST quadratic?,Evaluate,
Start by finding the target positions for all the statures.,Apply,
"You do not have to check the inequality for each subset S of V if you can point out a subset for which the inequality does not hold. Otherwise, fill in a table for all the subsets S of the indicated set V with columns for S, R(S), and |R(S)| |S|. b. Think time efficiency. ",Evaluate,
"Some textbooks define the number of significant digits in the approximation of number by number as the largest nonnegative integer k for which | - | < 5 . 10-k. || According to this definition, how many significant digits are there in the approximation of by a. ",Apply,
"Apply the nearest-neighbor algorithm to the instance defined by the intercity distance matrix below. Start the algorithm at the first city, assuming that the cities are numbered from 1 to ",Apply,
Start by transforming the logarithms to the same base. b. The easiest way is to prove that lim log2(n + 1) >,Evaluate,
Sketch the graph to determine a general location of the root and choose an initial interval bracketing it. Use an appropriate inequality given in Section,Apply,
Design a (n2) algorithm for finding an optimal binary search tree.,Create,
Prove by mathematical induction that a. h log2 l for any binary tree with height h and the number of leaves l. b. h log3 l for any ternary tree with height h and the number of leaves l.,Apply,
"Describe how one can implement each of the following operations on an array so that the time it takes does not depend on the array's size n. a. Delete the ith element of an array (1 i n). b. Delete the ith element of a sorted array (the remaining array has to stay sorted, of course). ",Create,
Where will A[i] be in the sorted array?,Analyse,
How would you construct an optimal binary search tree for a set of n keys if all the keys are equally likely to be searched for? What will be the average number of comparisons in a successful search in such a tree if n = 2k?,Analyse,
Compare the values of the functions lg lg n and lg n for n = 2k.,Apply,
"This is a straightforward question. You may assume that the three elements to be sorted are distinct. (If you need help, see decision trees for the threeelement selection sort and three-element insertion sort in the section.) ",Apply,
"Design a divide-and-conquer algorithm for computing the number of levels in a binary tree. (In particular, the algorithm must return 0 and 1 for the empty and single-node trees, respectively.) What is the time efficiency class of your algorithm? ",Create,
Perform one iteration of the algorithm for two arbitrarily chosen integers m < n.,Apply,
