38608077,W3C validation differs when validated by HTML &amp; URL,2,3
41293319,creating new file whose name only differs by case from existing file with matlab/octave fopen,2,0
38809608,Excel: How to highlight cells if the neighboring cell value differs by 2 or more?,2,3
38738449,why my imshow differs from imwrite,2,1
39335955,QLabel font differs when inserting a short HTML text,2,0
39591446,JavaScript Date() differs when timezone changes,2,0
39820824,Camera preview differs from bitmap,2,4
38183449,XML Signature is not valid - XML SignatureValue differs in C# and Java code,0,4
40657434,TMP differs from user variable on Windows,2,2
40676386,Eigen c++ sparse matrix multiplication differs strongly for Matlab output,2,4
39486503,meteor template argument value differs between helper and event,0,3
39967784,Microservice vs SOA differs,1,4
38179882,Specify float when initializing double. gcc and clang differs,2,0
39950891,WordPress Landing Page that Differs in Design from Regular Pages,0,0
42021421,RestTemplate/Jackson list conversion differs from single object conversion,1,0
41305134,NetBeans -Djava.library.path separator differs in Windows and OS X,1,5
37569117,Chisel: val differs from expression after assignment,2,4
41825841,The width of thead differs from tbody,2,3
39894580,SQLite3 - Why LEFT JOIN differs from other RDBMSes?,2,3
41816629,Subset time series so that selected rows differs by a certain minimum time,1,3
38473271,How the traditional device driver program differs?,1,0
38522937,"DateTime.ToString(&quot;d&quot;, cultureInfo) output differs between IIS and console app",0,5
40575925,Why hash results for ASCII differs when apply utf8 functions,1,2
39811680,Scala behavior differs from Java only because Java try finally does not result in value,0,3
39825986,Firebase Storage - Download URL different from actual Download URL in the console (token differs),0,3
41496645,Carbon date time differs,2,3
42129990,Timestamp value in C# differs from java,1,3
38304328,google-maps-services java library result differs from browser call result,0,3
37925449,The total of rows fetched by Django&#39;s ORM filter is_null=True and is_null=False differs from the total of all rows. Why?,2,4
38782030,md5sum of rubyzip output string and written file differs,0,5
38359119,In Qt why cacheKey differs for same icon,2,0
38515282,Program Output Differs Dramatically Under Valgrind,2,4
41316435,How Spring-Hibernate integration and Spring+JPA+Hibernate differs?,1,4
39963220,How OOP languages differs from procedural languages in terms of memory utilization,0,3
41338966,Sorted scatter plot differs from unsorted one,2,4
39375000,Hive results differs from MySql result. Join query on Hive returns unexpected result or OK results,1,3
40132699,Returned JSON from fetch requests differs in test and dev,2,2
40757340,shell date &quot;-n hours&quot; differs with &quot;n hours ago&quot; in some situation,2,3
41369181,Delete rows in single table in SQL Server where timestamp column differs,1,1
38160479,arithmetic operation differs if variable is char or int,2,0
41789024,Form designer differs for custom form,2,0
39542591,C++ C2040: &#39;Block***&#39; differs in levels of indirection (&amp; memory assistance),2,3
41335395,python str() function result differs from __str__() function&#39;s result,0,3
38743143,Get previous row value if current value in order clause differs from previous by particular value?,2,4
40349801,How to parse Multiline block text if content differs from block to block using Python &amp; regex?,0,5
38747754,MYSQL Find similar strings that differs only for a hypen or extra space,1,2
40561774,Excel VBA - How to add new row at the end of a sheet only if the new row differs from the last row?,3,2
38524021,C error C2040 &#39;f&#39;: &#39;errno_t&#39; differs in levels of indirection from &#39;FILE *&#39;,2,3
38098551,Android Rect width and height differs from original dimensions,1,5
39873144,QToolBox default aspect differs between mac linux and windows,2,5
39548545,"C++ string to char* conversion error, Build error &#39;c&#39;: const char* differs in levels of indirection from &#39;char&#39;",2,3
41586819,popBackStack() behavior differs after support-library upgrade from 23.1.1 to 25.1.0,2,3
41002628,"Oracle SQL: Nested sub-queries, outer are the same, inner differs",1,3
40307847,Printed value differs from return value in Python?,2,5
37544587,Getting Location of user in iOS differs with MKMapView and CLLocationManager,2,2
41955472,Java hashCode() differs in different executions of same object creation,1,3
40336018,Task behaviour differs from Task&lt;T&gt; behaviour when OperationCanceledException thrown,2,3
39169172,Modernizr.touchevents response differs on deploy,1,3
39024238,Why scala serializability differs in case classes with same constructor parameter types?,2,4
38926343,Azure Storage put blob REST API: The MAC signature differs from Azure computed signature (missing content-type),2,5
38444701,conversion of html code into respective diacritic symbol/alphabet,2,0
41285790,What differs between post-filter and global aggregation for faceted search?,2,3
37577888,Why the bitrate shown during processing differs so much from the final bitrate after processing using ffmpeg?,2,4
39015585,"Postman shown time, curl time_total differs",2,4
39402146,How to create a custom post type with an archive slug that differs from the post type name,1,5
40897699,Knitr output differs between Rmd and Rnw: data.table output example,2,5
