Section No.,Level,Section,Page No.
1,1,Introduction,27
1.1,2,What Operating Systems Do,28
1.2,2,Computer-System Organization,31
1.3,2,Computer-System Architecture,36
1.4,2,Operating-System Structure,43
1.5,2,Operating-System Operations,45
1.6,2,Process Management,48
1.7,2,Memory Management,49
1.8,2,Storage Management,50
1.9,2,Protection and Security,54
1.10,2,Kernel Data Structures,55
1.11,2,Computing Environments,59
1.12,2,Open-Source Operating Systems,67
1.13,2,Summary,71
2,1,Operating-System Structures,79
2.1,2,Operating-System Services,79
2.2,2,User and Operating-System Interface,82
2.3,2,System Calls,86
2.4,2,Types of System Calls,90
2.5,2,System Programs,98
2.6,2,Operating-System Design and Implementation,99
2.7,2,Operating-System Structure,102
2.8,2,Operating-System Debugging,110
2.9,2,Operating-System Generation,115
2.10,2,System Boot,116
2.11,2,Summary,117
3,1,Processes,129
3.1,2,Process Concept,129
3.2,2,Process Scheduling,134
3.3,2,Operations on Processes,139
3.4,2,Interprocess Communication,146
3.5,2,Examples of IPC Systems,154
3.6,2,Communication in ClientServer Systems,160
3.7,2,Summary,171
4,1,Threads,187
4.1,2,Overview,187
4.2,2,Multicore Programming,190
4.3,2,Multithreading Models,193
4.4,2,Thread Libraries,195
4.5,2,Implicit Threading,201
4.6,2,Threading Issues,207
4.7,2,Operating-System Examples,212
4.8,2,Summary,215
5,1,Process Synchronization,227
5.1,2,Background,227
5.2,2,The Critical-Section Problem,230
5.3,2,Peterson's Solution,231
5.4,2,Synchronization Hardware,233
5.5,2,Mutex Locks,236
5.6,2,Semaphores,237
5.7,2,Classic Problems of Synchronization,243
5.8,2,Monitors,247
5.9,2,Synchronization Examples,256
5.10,2,Alternative Approaches,262
5.11,2,Summary,266
6,1,CPU Scheduling,285
6.1,2,Basic Concepts,285
6.2,2,Scheduling Criteria,289
6.3,2,Scheduling Algorithms,290
6.4,2,Thread Scheduling,301
6.5,2,Multiple-Processor Scheduling,302
6.6,2,Real-Time CPU Scheduling,307
6.7,2,Operating-System Examples,314
6.8,2,Algorithm Evaluation,324
6.9,2,Summary,328
7,1,Deadlocks,339
7.1,2,System Model,339
7.2,2,Deadlock Characterization,341
7.3,2,Methods for Handling Deadlocks,346
7.4,2,Deadlock Prevention,347
7.5,2,Deadlock Avoidance,351
7.6,2,Deadlock Detection,357
7.7,2,Recovery from Deadlock,361
7.8,2,Summary,363
8,1,Main Memory,375
8.1,2,Background,375
8.2,2,Swapping,382
8.3,2,Contiguous Memory Allocation,384
8.4,2,Segmentation,388
8.5,2,Paging,390
8.6,2,Structure of the Page Table,402
8.7,2,Example: Intel 32 and 64-bit Architectures,407
8.8,2,Example: ARM Architecture,412
8.9,2,Summary,413
9,1,Virtual Memory,421
9.1,2,Background,421
9.2,2,Demand Paging,425
9.3,2,Copy-on-Write,432
9.4,2,Page Replacement,433
9.5,2,Allocation of Frames,445
9.6,2,Thrashing,449
9.7,2,Memory-Mapped Files,454
9.8,2,Allocating Kernel Memory,460
9.9,2,Other Considerations,463
9.10,2,Operating-System Examples,469
9.11,2,Summary,472
10,1,Mass-Storage Structure,491
10.1,2,Overview of Mass-Storage Structure,491
10.2,2,Disk Structure,494
10.3,2,Disk Attachment,495
10.4,2,Disk Scheduling,496
10.5,2,Disk Management,502
10.6,2,Swap-Space Management,506
10.7,2,RAID Structure,508
10.8,2,Stable-Storage Implementation,518
10.9,2,Summary,520
11,1,File-System Interface,527
11.1,2,File Concept,527
11.2,2,Access Methods,537
11.3,2,Directory and Disk Structure,539
11.4,2,File-System Mounting,550
11.5,2,File Sharing,552
11.6,2,Protection,557
11.7,2,Summary,562
12,1,File-System Implementation,567
12.1,2,File-System Structure,567
12.2,2,File-System Implementation,570
12.3,2,Directory Implementation,576
12.4,2,Allocation Methods,577
12.5,2,Free-Space Management,585
12.6,2,Efficiency and Performance,588
12.7,2,Recovery,592
12.8,2,NFS,595
12.9,2,Example: The WAFL File System,601
12.10,2,Summary,604
13,1,I/O Systems,611
13.1,2,Overview,611
13.2,2,I/O Hardware,612
13.3,2,Application I/O Interface,621
13.4,2,Kernel I/O Subsystem,628
13.5,2,Transforming I/O Requests to Hardware Operations,635
13.6,2,STREAMS,637
13.7,2,Performance,639
13.8,2,Summary,642
14,1,Protection,649
14.1,2,Goals of Protection,649
14.2,2,Principles of Protection,650
14.3,2,Domain of Protection,651
14.4,2,Access Matrix,656
14.5,2,Implementation of the Access Matrix,660
14.6,2,Access Control,663
14.7,2,Revocation of Access Rights,664
14.8,2,Capability-Based Systems,665
14.9,2,Language-Based Protection,668
14.10,2,Summary,673
15,1,Security,681
15.1,2,The Security Problem,681
15.2,2,Program Threats,685
15.3,2,System and Network Threats,693
15.4,2,Cryptography as a Security Tool,698
15.5,2,User Authentication,709
15.6,2,Implementing Security Defenses,713
15.7,2,Firewalling to Protect Systems and Networks,720
15.8,2,Computer-Security Classifications,722
15.9,2,An Example: Windows 7,723
15.10,2,Summary,725
16,1,Virtual Machines,735
16.1,2,Overview,735
16.2,2,History,737
16.3,2,Benefits and Features,738
16.4,2,Building Blocks,741
16.5,2,Types of Virtual Machines and Their Implementations,745
16.6,2,Virtualization and Operating-System Components,752
16.7,2,Examples,759
16.8,2,Summary,761
17,1,Distributed Systems,765
17.1,2,Advantages of Distributed Systems,765
17.2,2,Types of Network-based Operating Systems,767
17.3,2,Network Structure,771
17.4,2,Communication Structure,775
17.5,2,Communication Protocols,780
17.6,2,An Example: TCP/IP,784
17.7,2,Robustness,786
17.8,2,Design Issues,788
17.9,2,Distributed File Systems,789
17.10,2,Summary,797
18,1,The Linux System,805
18.1,2,Linux History,805
18.2,2,Design Principles,810
18.3,2,Kernel Modules,813
18.4,2,Process Management,816
18.5,2,Scheduling,819
18.6,2,Memory Management,824
18.7,2,File Systems,833
18.8,2,Input and Output,839
18.9,2,Interprocess Communication,842
18.10,2,Network Structure,843
18.11,2,Security,845
18.12,2,Summary,848
19,1,Windows 7,853
19.1,2,History,853
19.2,2,Design Principles,855
19.3,2,System Components,862
19.4,2,Terminal Services and Fast User Switching,886
19.5,2,File System,887
19.6,2,Networking,893
19.7,2,Programmer Interface,898
19.8,2,Summary,907
20,1,Influential Operating Systems,911
20.1,2,Feature Migration,911
20.2,2,Early Systems,912
20.3,2,Atlas,919
20.4,2,XDS-940,920
20.5,2,THE,921
20.6,2,RC 4000,921
20.7,2,CTSS,922
20.8,2,MULTICS,923
20.9,2,IBM OS/360,923
20.10,2,TOPS-20,925
20.11,2,CP/M and MS/DOS,925
20.12,2,Macintosh Operating System and Windows,926
20.13,2,Mach,926
20.14,2,Other Systems,928
